index,OPE ID,School,City_x,State_x,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Lat,Lng,City_y,State_y,Full Zip Code
310,1475,DAYTONA STATE COLLEGE,DAYTONA BEACH,FL,32114,Public,Subsidized,1113,1118,4195107.0,1118,2098644.0,29.19312,-81.04915,Daytona Beach,FL,32114
311,1574,GEORGIA STATE UNIVERSITY,ATLANTA,GA,30303,Public,Subsidized,13135,13135,53153245.0,13135,27784864.0,33.75284,-84.39028,Atlanta,GA,30303
312,1598,UNIVERSITY OF GEORGIA,ATHENS,GA,30602,Public,Subsidized,4717,4717,20078899.0,4717,10359917.0,33.94252,-83.37256,Athens,GA,30602
313,1577,KENNESAW STATE UNIVERSITY,KENNESAW,GA,30144,Public,Subsidized,10527,12020,42923385.0,12021,22282593.0,34.03672,-84.59174,Kennesaw,GA,30144
314,1564,EMORY UNIVERSITY,ATLANTA,GA,30322,Private-Nonprofit,Subsidized,1459,1487,6106358.0,1487,3151055.0,33.7948,-84.32539,Atlanta,GA,30322
315,1580,MERCER UNIVERSITY,MACON,GA,31207,Private-Nonprofit,Subsidized,1789,1835,7828815.0,1837,4031184.0,32.82859,-83.64928,Macon,GA,31207
316,1572,GEORGIA SOUTHERN UNIVERSITY,STATESBORO,GA,30460,Public,Subsidized,7424,7581,30980678.0,7581,15587567.0,32.42718,-81.78272,Statesboro,GA,30460
318,1579,AUGUSTA UNIVERSITY,AUGUSTA,GA,30912,Public,Subsidized,1875,1914,8091391.0,1914,4071333.0,33.47021,-81.98789,Augusta,GA,30912
320,1599,VALDOSTA STATE UNIVERSITY,VALDOSTA,GA,31698,Public,Subsidized,4000,4020,16508960.0,4026,8375361.0,30.84749,-83.29051,Valdosta,GA,31698
321,1569,GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GA,30332,Public,Subsidized,2321,2349,9031134.0,2349,5112174.0,33.77757,-84.40429,Atlanta,GA,30332
322,1559,CLARK ATLANTA UNIVERSITY,ATLANTA,GA,30314,Private-Nonprofit,Subsidized,2173,2173,9668833.0,2369,4835671.0,33.75787,-84.43193,Atlanta,GA,30314
323,1601,UNIVERSITY OF WEST GEORGIA,CARROLLTON,GA,30118,Public,Subsidized,3586,3588,14132827.0,3588,7298925.0,33.57288,-85.09938,Carrollton,GA,30118
324,1585,UNIVERSITY OF NORTH GEORGIA,DAHLONEGA,GA,30597,Public,Subsidized,2944,2955,10987831.0,2955,5869102.0,34.52762,-83.98462,Dahlonega,GA,30597
325,1561,COLUMBUS STATE UNIVERSITY,COLUMBUS,GA,31907,Public,Subsidized,2284,2294,9222265.0,2297,4804377.0,32.48388,-84.89976,Columbus,GA,31907
326,13039,SOUTH UNIVERSITY,SAVANNAH,GA,31406,Proprietary,Subsidized,824,833,2782549.0,1166,1421872.0,31.97783,-81.08517,Savannah,GA,31406
328,8976,CLAYTON STATE UNIVERSITY,MORROW,GA,30260,Public,Subsidized,2313,2389,9676436.0,2389,4953145.0,33.5862,-84.33046,Morrow,GA,30260
329,1602,GEORGIA COLLEGE & STATE UNIVERSITY,MILLEDGEVILLE,GA,31061,Public,Subsidized,1236,1345,5085498.0,1346,2562911.0,33.06041,-83.22816,Milledgeville,GA,31061
330,1544,ALBANY STATE UNIVERSITY,ALBANY,GA,31705,Public,Subsidized,2722,2731,10767054.0,2732,5387292.0,31.51169,-84.05333,Albany,GA,31705
331,1556,BRENAU UNIVERSITY,GAINESVILLE,GA,30501,Private-Nonprofit,Subsidized,745,745,3206803.0,750,1612075.0,34.31844,-83.81636,Gainesville,GA,30501
332,41429,GEORGIA GWINNETT COLLEGE,LAWRENCEVILLE,GA,30043,Public,Subsidized,2745,2763,10905306.0,2763,5441213.0,34.00353,-84.00703,Lawrenceville,GA,30043
333,1581,MIDDLE GEORGIA STATE UNIVERSITY,MACON,GA,31206,Public,Subsidized,2202,2223,8543008.0,2223,4287532.0,32.79383,-83.6832,Macon,GA,31206
